problem,direction,iteration,calls,f,gap
maxq,cutting_plane,118,534,1.2418995296691624,1.2418995296691624
maxq,cutting_plane,119,537,1.088118999698487,1.088118999698487
maxq,cutting_plane,120,539,1.0,1.0
maxq,cutting_plane,121,554,0.9999839666645034,0.9999839666645034
maxq,cutting_plane,122,565,0.9499640672203977,0.9499640672203977
maxq,cutting_plane,123,569,0.75817425832573,0.75817425832573
maxq,cutting_plane,124,572,0.7434134385909676,0.7434134385909676
maxq,cutting_plane,125,575,0.647732629848783,0.647732629848783
maxq,cutting_plane,126,579,0.5270404066524069,0.5270404066524069
maxq,cutting_plane,127,585,0.4455690961371143,0.4455690961371143
maxq,cutting_plane,128,587,0.42636608106243024,0.42636608106243024
maxq,cutting_plane,129,590,0.3527541921082748,0.3527541921082748
maxq,cutting_plane,130,593,0.3435457573042369,0.3435457573042369
maxq,cutting_plane,131,605,0.3432746900459219,0.3432746900459219
maxq,cutting_plane,132,613,0.2133580024656644,0.2133580024656644
maxq,cutting_plane,133,616,0.20127161327526716,0.20127161327526716
maxq,cutting_plane,134,623,0.20101727185752571,0.20101727185752571
maxq,cutting_plane,135,625,0.17260258546068158,0.17260258546068158
maxq,cutting_plane,136,632,0.1681034669972923,0.1681034669972923
maxq,cutting_plane,137,634,0.16408324308067124,0.16408324308067124
maxq,cutting_plane,138,642,0.1638151862216727,0.1638151862216727
maxq,cutting_plane,139,644,0.15424175315265307,0.15424175315265307
maxq,cutting_plane,140,647,0.12333726055708728,0.12333726055708728
maxq,cutting_plane,141,653,0.12089296188885133,0.12089296188885133
maxq,cutting_plane,142,659,0.11898317648925667,0.11898317648925667
maxq,cutting_plane,143,667,0.11755543702417909,0.11755543702417909
maxq,cutting_plane,144,669,0.10935094068648434,0.10935094068648434
maxq,cutting_plane,145,674,0.10870938080098563,0.10870938080098563
maxq,cutting_plane,146,676,0.08976344955672154,0.08976344955672154
maxq,cutting_plane,147,681,0.08173500665064067,0.08173500665064067
maxq,cutting_plane,148,688,0.07506642014092775,0.07506642014092775
maxq,cutting_plane,149,690,0.06360313359013849,0.06360313359013849
maxq,cutting_plane,150,693,0.0604915374922587,0.0604915374922587
maxq,cutting_plane,151,701,0.06034527074165193,0.06034527074165193
maxq,cutting_plane,152,703,0.05974502040518182,0.05974502040518182
maxq,cutting_plane,153,707,0.059393257879572045,0.059393257879572045
maxq,cutting_plane,154,711,0.040939403412056576,0.040939403412056576
maxq,cutting_plane,155,719,0.04078092229773516,0.04078092229773516
maxq,cutting_plane,156,721,0.04008375076263411,0.04008375076263411
maxq,cutting_plane,157,725,0.03830594140912167,0.03830594140912167
maxq,cutting_plane,158,727,0.03819956593586285,0.03819956593586285
maxq,cutting_plane,159,732,0.03393001502423569,0.03393001502423569
maxq,cutting_plane,160,740,0.03391916055043239,0.03391916055043239
maxq,cutting_plane,161,742,0.029046691256569987,0.029046691256569987
maxq,cutting_plane,162,745,0.02710755826697601,0.02710755826697601
maxq,cutting_plane,163,751,0.026712471782308532,0.026712471782308532
maxq,cutting_plane,164,755,0.02555924019810308,0.02555924019810308
maxq,cutting_plane,165,761,0.024336682935364784,0.024336682935364784
maxq,cutting_plane,166,763,0.023602575565437968,0.023602575565437968
maxq,cutting_plane,167,765,0.01733245116646954,0.01733245116646954
maxq,cutting_plane,168,769,0.016429186355573548,0.016429186355573548
maxq,cutting_plane,169,774,0.016082839422918344,0.016082839422918344
maxq,cutting_plane,170,781,0.01599722769550809,0.01599722769550809
maxq,cutting_plane,171,788,0.01572562621677601,0.01572562621677601
maxq,cutting_plane,172,790,0.015099913307069392,0.015099913307069392
maxq,cutting_plane,173,794,0.010960780893505082,0.010960780893505082
maxq,cutting_plane,174,796,0.00954237106969539,0.00954237106969539
maxq,cutting_plane,175,800,0.009476640387143142,0.009476640387143142
maxq,cutting_plane,176,804,0.009426255515760606,0.009426255515760606
maxq,cutting_plane,177,808,0.008487432519680194,0.008487432519680194
maxq,cutting_plane,178,813,0.007644461570614929,0.007644461570614929
maxq,cutting_plane,179,820,0.00727092619217107,0.00727092619217107
maxq,cutting_plane,180,822,0.005058370973637906,0.005058370973637906
maxq,cutting_plane,181,825,0.0030748071648706303,0.0030748071648706303
maxq,cutting_plane,182,828,0.003011457666051294,0.003011457666051294
maxq,cutting_plane,183,833,0.0029646377763558407,0.0029646377763558407
maxq,cutting_plane,184,837,0.0028698978270785547,0.0028698978270785547
maxq,cutting_plane,185,841,0.002722793412157139,0.002722793412157139
maxq,cutting_plane,186,843,0.0025143361826565273,0.0025143361826565273
maxq,cutting_plane,187,846,0.0023341612220977707,0.0023341612220977707
maxq,cutting_plane,188,851,0.0019412699598746932,0.0019412699598746932
maxq,cutting_plane,189,858,0.0018884067028989498,0.0018884067028989498
maxq,cutting_plane,190,865,0.0018467276037182384,0.0018467276037182384
maxq,cutting_plane,191,869,0.0018376887496250854,0.0018376887496250854
maxq,cutting_plane,192,874,0.0018289297327453032,0.0018289297327453032
maxq,cutting_plane,193,876,0.001788113934517704,0.001788113934517704
maxq,cutting_plane,194,879,0.001651596991078866,0.001651596991078866
maxq,cutting_plane,195,886,0.0016205274727505157,0.0016205274727505157
maxq,cutting_plane,196,889,0.0014043445430728994,0.0014043445430728994
maxq,cutting_plane,197,895,0.0013594818531725316,0.0013594818531725316
maxq,cutting_plane,198,906,0.0013584301262513899,0.0013584301262513899
maxq,cutting_plane,199,914,0.0012458920289088384,0.0012458920289088384
maxq,cutting_plane,200,919,0.001233328634764762,0.001233328634764762
maxq,cutting_plane,201,923,0.0011405104360627488,0.0011405104360627488
maxq,cutting_plane,202,928,0.0010066472207338935,0.0010066472207338935
maxq,cutting_plane,203,935,0.0009273397772390945,0.0009273397772390945
maxq,cutting_plane,204,937,0.0007705052278340747,0.0007705052278340747
maxq,cutting_plane,205,940,0.0006507754202901575,0.0006507754202901575
maxq,cutting_plane,206,944,0.0005905928770940595,0.0005905928770940595
maxq,cutting_plane,207,948,0.000560346164429355,0.000560346164429355
maxq,cutting_plane,208,951,0.0005457013445277929,0.0005457013445277929
maxq,cutting_plane,209,962,0.0005455826734159839,0.0005455826734159839
maxq,cutting_plane,210,973,0.0004807117570937026,0.0004807117570937026
maxq,cutting_plane,211,975,0.0004780802319473754,0.0004780802319473754
maxq,cutting_plane,212,984,0.0004730603230104298,0.0004730603230104298
maxq,cutting_plane,213,986,0.0004404246155218803,0.0004404246155218803
maxq,cutting_plane,214,988,0.0003469708781276924,0.0003469708781276924
maxq,cutting_plane,215,993,0.00033811947988340266,0.00033811947988340266
maxq,cutting_plane,216,1000,0.00032356705014034037,0.00032356705014034037
maxq,cutting_plane,217,1005,0.0003204201514132421,0.0003204201514132421
maxq,cutting_plane,218,1007,0.00031397554720365606,0.00031397554720365606
